STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARANCHAL,14.5,24,20.93,7.2,9.2,7.92,6.8,8.76,7.76,135,202,157.75,1.4,4.2,2.64,NA,NA,NA,NA,NA,NA,160,500,258
1062,GANGA AT GARHMUKTESHWAR,UTTAR PRADESH,13,26,19.58,7,9.8,8.58,7.2,7.6,7.38,170,260,219.75,2.8,3.9,3.37,0.13,0.97,0.4,21,1700,920.08,1000,4800,2125
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,17,23,19.33,7.36,12.5,9.22,7,7.5,7.33,170,314,221.75,1.8,5.2,3.12,0,0.75,0.26,320,360,351.67,490,910,661.67
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,17,23,19.5,7.62,12,9.18,7,7.6,7.38,160,323,230.25,1.6,5.6,3.23,0,1.06,0.31,350,550,428.33,700,1000,821.67
1145,GANGA AT NARORA (BULANDSAHAR),UTTAR PRADESH,17,23,20.33,8.02,10.2,9.34,7,7.5,7.34,180,270,216.25,1.9,4,2.65,0,0.69,0.29,360,840,595,810,1400,1103.33
2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,17,24,20.33,8.2,9.8,8.96,7,7.8,7.38,180,300,251.08,0.5,3.8,2.69,0,0.8,0.33,350,920,731.67,700,1700,1316.67
1063,GANGA AT KANNAUJ U/S (RAJGHAT),UTTAR PRADESH,16,31,24.75,6.6,11.3,8.57,7.55,8.43,8.08,18.1,491.7,107.58,3,4.8,3.99,0,3.36,1.09,900,28000,4672.73,2100,93000,24163.6
1066,GANGA AT KANNAUJ D/S,UTTAR PRADESH,16,31,24.75,6.4,10.8,8.25,7.88,8.46,8.12,18.24,475.8,107.92,3.8,5.8,4.78,0,2.54,0.94,700,39000,6045.45,2000,100000,29190.9
1146,GANGA AT BITHOOR (KANPUR),UTTAR PRADESH,16,31,24.75,6.4,11.6,8.71,7.39,8.8,8.21,22.8,498.6,104.82,2.6,5.7,4.13,0,2.32,0.76,700,28000,4845.45,2000,200000,17245.5
1067,GANGA AT KANPUR U/S (RANIGHAT),UTTAR PRADESH,16,31,24.75,2.8,12.2,8.73,7.5,9.1,8.39,23,528.3,105.89,2.8,5.9,4.27,0,2.48,0.82,700,39000,6245.45,2800,200000,26690.9
1068,GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),UTTAR PRADESH,16,31,24.75,4.6,10.8,6.6,7.2,8.9,8.29,28.76,574.4,127.01,4.6,19.2,8.32,0,3.68,1.51,3900,93000,23927.3,64000,200000,111818
1147,GANGA AT DALMAU (RAI BAREILLY),UTTAR PRADESH,16,25,20.42,6.8,8.8,7.74,7.69,8.11,7.87,159,361,240.42,3.1,3.8,3.5,0.78,0.9,0.84,4300,4900,4641.67,7000,8500,7883.33
2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,16,25,20.42,6.9,8.4,7.84,7.65,8.1,7.85,156,358,237.08,3.1,3.7,3.43,0.76,0.88,0.81,3900,4700,4400,6900,8200,7658.33
1046,GANGA AT ALLAHABAD (RASOOLABAD),UTTAR PRADESH,19.9,29.5,24.08,4.4,9.3,7.42,7.74,8.49,8.25,310,699,458.83,2.6,8,5.58,0.71,2.2,1.16,2200,3500,3058.33,6000,9000,7583.33
